#Beta_peaks Enhancers
#Created from /project/NeuralNet/CRC/ROSE/2.rose_Beta_narrow.05_broad.1_incltss/Beta_peaks_12KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by Beta_H3K27ac.bam
#Using cutoff of 13012.3095 for Super-Enhancers
#Created on Oct 24 2022 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Beta_H3K27ac.bam	enhancerRank	isSuper
1_Beta_peak_14386_lociStitched	chr17	57409082	57409957	1	876	2160.4625	5077	0
2_Beta_peak_19788_lociStitched	chr2	204103235	204104639	2	1236	2160.3348	5078	0
2_Beta_peak_9707_lociStitched	chr14	55284500	55286343	2	1562	2159.996	5079	0
2_Beta_peak_9117_lociStitched	chr13	95247991	95254702	2	1336	2159.5998	5080	0
2_Beta_peak_7174_lociStitched	chr12	19282022	19283949	2	1685	2159.3962	5081	0
2_Beta_peak_33003_lociStitched	chr8	140968735	140970410	2	1409	2158.74	5082	0
1_Beta_peak_29818_lociStitched	chr7	148845	150100	1	1256	2158.6	5083	0
3_Beta_peak_33928_lociStitched	chr9	99179301	99181749	3	1446	2157.912	5084	0
1_Beta_peak_14172_lociStitched	chr17	45000100	45000908	1	809	2156.7136	5085	0
2_Beta_peak_20743_lociStitched	chr20	32699360	32700559	2	1032	2156.2816	5086	0
2_Beta_peak_20337_lociStitched	chr20	1447002	1448358	2	1064	2155.6332	5087	0
2_Beta_peak_33749_lociStitched	chr9	88968541	88969981	2	1266	2155.248	5088	0
2_Beta_peak_18549_lociStitched	chr2	64750852	64752534	2	1484	2154.9784	5089	0
2_Beta_peak_21622_lociStitched	chr21	45284207	45285835	2	1153	2154.658	5090	0
2_Beta_peak_33863_lociStitched	chr9	95985068	95993894	2	735	2154.4266	5091	0
2_Beta_peak_19893_lociStitched	chr2	214787763	214789586	2	1595	2154.4214	5092	0
1_Beta_peak_17481_lociStitched	chr19_gl383574_alt	19258	20736	1	1479	2153.446	5093	0
1_Beta_peak_29317_lociStitched	chr6	150069973	150071305	1	1333	2153.0448	5094	0
4_Beta_peak_13967_lociStitched	chr17	39058772	39072582	4	1605	2152.979	5095	0
2_Beta_peak_30515_lociStitched	chr7	64459028	64467146	2	1193	2152.8936	5096	0
2_Beta_peak_11488_lociStitched	chr15	90644494	90646133	2	1506	2152.4987	5097	0
1_Beta_peak_6419_lociStitched	chr11	94799955	94801475	1	1521	2152.472	5098	0
2_Beta_peak_913_lociStitched	chr1	33476990	33478625	2	1118	2152.1505	5099	0
1_Beta_peak_33588_lociStitched	chr9	70645751	70647054	1	1304	2152.0348	5100	0
1_Beta_peak_3013_lociStitched	chr1	220660125	220661765	1	1641	2151.844	5101	0
3_Beta_peak_11713_lociStitched	chr16	1382118	1385293	3	933	2151.6975	5102	0
2_Beta_peak_27310_lociStitched	chr5	140937564	140940420	2	1057	2151.1392	5103	0
2_Beta_peak_9245_lociStitched	chr13	110146245	110147949	2	1304	2150.9592	5104	0
2_Beta_peak_33401_lociStitched	chr9	33445907	33458593	2	1869	2149.0084	5105	0
1_Beta_peak_15326_lociStitched	chr18	18690931	18691747	1	817	2148.8544	5106	0
3_Beta_peak_25134_lociStitched	chr4	52771919	52776125	3	1331	2148.0042	5107	0
1_Beta_peak_13110_lociStitched	chr16	90038562	90039658	1	1097	2147.612	5108	0
1_Beta_peak_23878_lociStitched	chr3	128399281	128400352	1	1072	2147.2479	5109	0
2_Beta_peak_128_lociStitched	chr1	3239485	3250840	2	1114	2147.2305	5110	0
3_Beta_peak_32935_lociStitched	chr8	131427588	131436882	3	971	2146.914	5111	0
2_Beta_peak_30840_lociStitched	chr7	98638394	98648739	2	682	2146.5875	5112	0
1_Beta_peak_1660_lociStitched	chr1	93645169	93645993	1	825	2146.4376	5113	0
2_Beta_peak_18807_lociStitched	chr2	87755056	87766292	2	984	2146.076	5114	0
1_Beta_peak_25263_lociStitched	chr4	76649787	76650592	1	806	2145.486	5115	0
2_Beta_peak_32560_lociStitched	chr8	95253555	95255273	2	1558	2144.2358	5116	0
3_Beta_peak_14608_lociStitched	chr17	70117314	70123881	3	1383	2144.1255	5117	0
1_Beta_peak_30383_lociStitched	chr7	45807916	45809216	1	1301	2143.96	5118	0
2_Beta_peak_6159_lociStitched	chr11	68038817	68039973	2	993	2143.6864	5119	0
2_Beta_peak_13268_lociStitched	chr17	3570910	3572578	2	1430	2143.5468	5120	0
2_Beta_peak_3706_lociStitched	chr10	18468939	18475594	2	1428	2142.91	5121	0
2_Beta_peak_3833_lociStitched	chr10	30886088	30894939	2	1803	2142.8271	5122	0
2_Beta_peak_26902_lociStitched	chr5	98108794	98110401	2	1283	2142.7738	5123	0
2_Beta_peak_30396_lociStitched	chr7	47354588	47367562	2	695	2142.0074	5124	0
2_Beta_peak_18744_lociStitched	chr2	84742961	84754703	2	1784	2141.7408	5125	0
2_Beta_peak_34449_lociStitched	chr9	134567874	134573567	2	694	2141.1373	5126	0
3_Beta_peak_297_lociStitched	chr1	10447642	10459643	3	1546	2140.9784	5127	0
2_Beta_peak_5008_lociStitched	chr10	134497887	134499829	2	1702	2140.6666	5128	0
2_Beta_peak_24612_lociStitched	chr3	197024414	197026212	2	1475	2139.4402	5129	0
2_Beta_peak_23810_lociStitched	chr3	123128924	123139610	2	671	2139.3372	5130	0
2_Beta_peak_33550_lociStitched	chr9	66800616	66803730	2	694	2138.6952	5131	0
1_Beta_peak_25514_lociStitched	chr4	106067529	106068837	1	1309	2137.272	5132	0
2_Beta_peak_26669_lociStitched	chr5	71402955	71404629	2	1411	2136.3588	5133	0
2_Beta_peak_27631_lociStitched	chr5	175874516	175875949	2	1248	2136.0298	5134	0
1_Beta_peak_20898_lociStitched	chr20	42186471	42188198	1	1728	2135.9536	5135	0
4_Beta_peak_14981_lociStitched	chr17_ctg5_hap1	379857	392450	4	2235	2135.7728	5136	0
3_Beta_peak_6536_lociStitched	chr11	111789647	111798461	3	1541	2135.6322	5137	0
1_Beta_peak_30808_lociStitched	chr7	95950717	95951762	1	1046	2134.4125	5138	0
1_Beta_peak_28392_lociStitched	chr6	39082342	39083359	1	1018	2134.0728	5139	0
1_Beta_peak_21377_lociStitched	chr21	33783956	33785266	1	1311	2133.728	5140	0
1_Beta_peak_30521_lociStitched	chr7	64953861	64954999	1	1139	2133.2948	5141	0
2_Beta_peak_30583_lociStitched	chr7	73032545	73037943	2	692	2132.7498	5142	0
2_Beta_peak_8006_lociStitched	chr12	106570913	106572950	2	1422	2132.5353	5143	0
2_Beta_peak_19769_lociStitched	chr2	202330101	202332260	2	1717	2132.2284	5144	0
2_Beta_peak_5951_lociStitched	chr11	63952532	63954200	2	1181	2132.0376	5145	0
2_Beta_peak_375_lociStitched	chr1	15504719	15506335	2	1392	2131.8272	5146	0
1_Beta_peak_35174_lociStitched	chrX	56589639	56590881	1	1243	2131.7688	5147	0
3_Beta_peak_19141_lociStitched	chr2	114040915	114046402	3	1031	2131.6995	5148	0
2_Beta_peak_29995_lociStitched	chr7	7143691	7155175	2	632	2131.4304	5149	0
2_Beta_peak_33293_lociStitched	chr9	12813717	12815173	2	1004	2130.856	5150	0
2_Beta_peak_6295_lociStitched	chr11	77184074	77185821	2	1411	2130.6412	5151	0
2_Beta_peak_33536_lociStitched	chr9	45352194	45356455	2	1109	2130.5	5152	0
1_Beta_peak_26601_lociStitched	chr5	68389793	68390663	1	871	2130.456	5153	0
3_Beta_peak_23463_lociStitched	chr3	72378325	72388956	3	1794	2130.4524	5154	0
2_Beta_peak_11610_lociStitched	chr15	100881722	100891127	2	1548	2130.2325	5155	0
2_Beta_peak_12783_lociStitched	chr16	72882373	72893024	2	1566	2130.2	5156	0
2_Beta_peak_12848_lociStitched	chr16	75656727	75666557	2	1106	2130.161	5157	0
2_Beta_peak_16531_lociStitched	chr19	20149836	20163837	2	1775	2129.5521	5158	0
1_Beta_peak_940_lociStitched	chr1	36022323	36023375	1	1053	2128.8272	5159	0
2_Beta_peak_16230_lociStitched	chr19	12266901	12274482	2	1523	2128.7448	5160	0
2_Beta_peak_10706_lociStitched	chr15	37196119	37203981	2	595	2127.4572	5161	0
2_Beta_peak_20902_lociStitched	chr20	42838739	42840136	2	1126	2127.3516	5162	0
2_Beta_peak_9416_lociStitched	chr14	23563740	23565191	2	1181	2125.8601	5163	0
3_Beta_peak_20357_lociStitched	chr20	3022528	3027239	3	1169	2125.6032	5164	0
2_Beta_peak_18631_lociStitched	chr2	69900967	69910852	2	1804	2125.275	5165	0
1_Beta_peak_7079_lociStitched	chr12	8234005	8235348	1	1344	2125.1632	5166	0
1_Beta_peak_11740_lociStitched	chr16	1876105	1877727	1	1623	2125.1444	5167	0
1_Beta_peak_13170_lociStitched	chr17	1302590	1303552	1	963	2124.9618	5168	0
1_Beta_peak_12472_lociStitched	chr16	53468335	53469433	1	1099	2124.3006	5169	0
2_Beta_peak_6286_lociStitched	chr11	76091492	76102285	2	1077	2124.0624	5170	0
1_Beta_peak_32101_lociStitched	chr8	37619623	37620758	1	1136	2123.0175	5171	0
1_Beta_peak_17281_lociStitched	chr19	52693217	52694025	1	809	2122.8584	5172	0
3_Beta_peak_32130_lociStitched	chr8	38323103	38326061	3	1873	2121.7734	5173	0
4_Beta_peak_28105_lociStitched	chr6	24576542	24585002	4	1488	2121.768	5174	0
4_Beta_peak_24384_lociStitched	chr3	183532586	183545267	4	1652	2121.5313	5175	0
2_Beta_peak_4021_lociStitched	chr10	51565202	51572734	2	991	2121.0112	5176	0
3_Beta_peak_7546_lociStitched	chr12	53931572	53938088	3	1811	2120.958	5177	0
1_Beta_peak_6301_lociStitched	chr11	77530917	77531860	1	944	2120.6184	5178	0
1_Beta_peak_30748_lociStitched	chr7	91569569	91570731	1	1163	2120.5338	5179	0
2_Beta_peak_21534_lociStitched	chr21	42688674	42698090	2	1242	2120.4832	5180	0
2_Beta_peak_16303_lociStitched	chr19	13874884	13885835	2	966	2120.1136	5181	0
1_Beta_peak_20023_lociStitched	chr2	223725690	223726582	1	893	2119.9272	5182	0
2_Beta_peak_1017_lociStitched	chr1	39858195	39860956	2	687	2119.6197	5183	0
3_Beta_peak_6442_lociStitched	chr11	98940579	98951521	3	1306	2119.4654	5184	0
2_Beta_peak_3095_lociStitched	chr1	225923994	225935225	2	1563	2119.2897	5185	0
3_Beta_peak_14317_lociStitched	chr17	55161964	55163930	3	1636	2119.1514	5186	0
2_Beta_peak_35644_lociStitched	chrX_jh806593_fix	89841	100426	2	1546	2119.117	5187	0
2_Beta_peak_12724_lociStitched	chr16	70409622	70415252	2	1098	2118.569	5188	0
1_Beta_peak_24971_lociStitched	chr4	38530715	38532122	1	1408	2118.5199	5189	0
2_Beta_peak_25627_lociStitched	chr4	125633285	125634692	2	1252	2118.0978	5190	0
2_Beta_peak_23532_lociStitched	chr3	88107251	88108887	2	1445	2116.6568	5191	0
1_Beta_peak_25157_lociStitched	chr4	54929834	54931154	1	1321	2115.96	5192	0
1_Beta_peak_5539_lociStitched	chr11	33913118	33914438	1	1321	2115.828	5193	0
2_Beta_peak_30429_lociStitched	chr7	50599297	50603314	2	989	2115.7539	5194	0
1_Beta_peak_24560_lociStitched	chr3	194304181	194305207	1	1027	2115.612	5195	0
2_Beta_peak_26147_lociStitched	chr5	1516568	1524652	2	1510	2115.5828	5196	0
2_Beta_peak_32633_lociStitched	chr8	100718317	100727721	2	727	2114.9596	5197	0
2_Beta_peak_15392_lociStitched	chr18	29070946	29078721	2	1568	2114.8	5198	0
1_Beta_peak_1454_lociStitched	chr1	65467803	65469307	1	1505	2114.1728	5199	0
3_Beta_peak_30559_lociStitched	chr7	67723395	67735191	3	1764	2113.8432	5200	0
3_Beta_peak_31429_lociStitched	chr7	150724963	150736512	3	1699	2113.467	5201	0
1_Beta_peak_14420_lociStitched	chr17	58602811	58603661	1	851	2113.27	5202	0
2_Beta_peak_6170_lociStitched	chr11	68227167	68228848	2	1013	2113.1851	5203	0
3_Beta_peak_3213_lociStitched	chr1	231104335	231114425	3	1522	2112.846	5204	0
2_Beta_peak_4052_lociStitched	chr10	60935836	60937395	2	1315	2112.445	5205	0
2_Beta_peak_4343_lociStitched	chr10	80910730	80912109	2	1095	2112.0764	5206	0
2_Beta_peak_34987_lociStitched	chrX	24043018	24044572	2	1213	2111.4198	5207	0
2_Beta_peak_12806_lociStitched	chr16	74511511	74522287	2	644	2111.0184	5208	0
1_Beta_peak_34022_lociStitched	chr9	108006880	108008319	1	1440	2110.2935	5209	0
2_Beta_peak_6909_lociStitched	chr11_jh720443_fix	191098	198634	2	1186	2110.08	5210	0
1_Beta_peak_29394_lociStitched	chr6	157040653	157041986	1	1334	2109.8724	5211	0
2_Beta_peak_25635_lociStitched	chr4	129208337	129210029	2	1155	2108.9088	5212	0
3_Beta_peak_21964_lociStitched	chr22	26326533	26339573	3	1543	2108.568	5213	0
2_Beta_peak_24104_lociStitched	chr3	149796300	149798138	2	1479	2107.8184	5214	0
1_Beta_peak_14050_lociStitched	chr17	41132163	41133487	1	1325	2107.808	5215	0
1_Beta_peak_10437_lociStitched	chr14	102275796	102276978	1	1183	2107.3878	5216	0
3_Beta_peak_2451_lociStitched	chr1	169117270	169131188	3	1092	2107.1852	5217	0
3_Beta_peak_2269_lociStitched	chr1	156252124	156261920	3	1397	2107.1196	5218	0
1_Beta_peak_29098_lociStitched	chr6	130686735	130687943	1	1209	2107.1144	5219	0
3_Beta_peak_27151_lociStitched	chr5	132352056	132362247	3	1358	2106.4797	5220	0
2_Beta_peak_9858_lociStitched	chr14	65006282	65017332	2	1489	2106.13	5221	0
3_Beta_peak_25153_lociStitched	chr4	54511042	54521042	3	1413	2106	5222	0
1_Beta_peak_30055_lociStitched	chr7	16684262	16685963	1	1702	2105.4978	5223	0
2_Beta_peak_12661_lociStitched	chr16	68118111	68119968	2	1515	2105.2809	5224	0
4_Beta_peak_18089_lociStitched	chr2	27928319	27938514	4	1851	2105.2675	5225	0
2_Beta_peak_15698_lociStitched	chr18	74083926	74089461	2	879	2104.9605	5226	0
1_Beta_peak_11409_lociStitched	chr15	85113225	85114463	1	1239	2104.8476	5227	0
1_Beta_peak_18681_lociStitched	chr2	73460647	73461889	1	1243	2104.569	5228	0
3_Beta_peak_15884_lociStitched	chr19	2543286	2546593	3	1523	2104.2441	5229	0
2_Beta_peak_15364_lociStitched	chr18	21032720	21033991	2	1148	2103.8863	5230	0
3_Beta_peak_30924_lociStitched	chr7	100486437	100494157	3	1676	2103.7	5231	0
2_Beta_peak_18902_lociStitched	chr2	97303244	97308347	2	1536	2101.4154	5232	0
1_Beta_peak_10823_lociStitched	chr15	43784611	43786076	1	1466	2101.2495	5233	0
1_Beta_peak_24576_lociStitched	chr3	195384387	195385490	1	1104	2101.215	5234	0
2_Beta_peak_18961_lociStitched	chr2	99784879	99798040	2	1092	2100.4956	5235	0
2_Beta_peak_2914_lociStitched	chr1	209958056	209960824	2	901	2100.3584	5236	0
2_Beta_peak_31060_lociStitched	chr7	108165950	108167182	2	925	2100.3136	5237	0
2_Beta_peak_14421_lociStitched	chr17	58676961	58678397	2	1241	2100.15	5238	0
1_Beta_peak_23152_lociStitched	chr3	49710718	49712058	1	1341	2099.646	5239	0
3_Beta_peak_11397_lociStitched	chr15	83669702	83680960	3	1644	2099.617	5240	0
1_Beta_peak_25560_lociStitched	chr4	113558002	113559145	1	1144	2099.2338	5241	0
1_Beta_peak_25957_lociStitched	chr4	178362989	178364335	1	1347	2098.6832	5242	0
1_Beta_peak_324_lociStitched	chr1	11072392	11073303	1	912	2098.3974	5243	0
1_Beta_peak_14853_lociStitched	chr17	78388403	78389565	1	1163	2097.991	5244	0
3_Beta_peak_30658_lociStitched	chr7	76067492	76075869	3	1182	2097.6008	5245	0
3_Beta_peak_27745_lociStitched	chr5	179467694	179474807	3	981	2096.2011	5246	0
3_Beta_peak_20802_lociStitched	chr20	34709935	34716944	3	1169	2095.691	5247	0
1_Beta_peak_32250_lociStitched	chr8	48920577	48921600	1	1024	2094.8994	5248	0
2_Beta_peak_25864_lociStitched	chr4	156609012	156615082	2	963	2094.757	5249	0
1_Beta_peak_24355_lociStitched	chr3	182511330	182512443	1	1114	2094.2208	5250	0
3_Beta_peak_29540_lociStitched	chr6	168333468	168347062	3	1146	2093.476	5251	0
3_Beta_peak_6260_lociStitched	chr11	74292595	74304102	3	1394	2093.1233	5252	0
3_Beta_peak_2346_lociStitched	chr1	161275487	161284697	3	1843	2091.591	5253	0
2_Beta_peak_30419_lociStitched	chr7	48018824	48032213	2	1389	2091.3618	5254	0
2_Beta_peak_284_lociStitched	chr1	10002852	10011050	2	1623	2091.3098	5255	0
2_Beta_peak_27908_lociStitched	chr6	7312546	7313944	2	1222	2091.2682	5256	0
1_Beta_peak_31721_lociStitched	chr8	6565406	6566929	1	1524	2091.079	5257	0
2_Beta_peak_28043_lociStitched	chr6	17987184	17988602	2	1257	2090.5574	5258	0
1_Beta_peak_14224_lociStitched	chr17	47269467	47270768	1	1302	2090.4468	5259	0
1_Beta_peak_4760_lociStitched	chr10	112219284	112220966	1	1683	2090.3896	5260	0
1_Beta_peak_4905_lociStitched	chr10	126381568	126383268	1	1701	2090.15	5261	0
2_Beta_peak_20957_lociStitched	chr20	45317499	45324458	2	1202	2089.7877	5262	0
2_Beta_peak_15394_lociStitched	chr18	29172607	29176702	2	628	2089.6785	5263	0
1_Beta_peak_9312_lociStitched	chr13	113622680	113624017	1	1338	2089.5973	5264	0
3_Beta_peak_19957_lociStitched	chr2	219524091	219537216	3	1183	2089.5	5265	0
3_Beta_peak_15897_lociStitched	chr19	2782881	2785219	3	1157	2089.4706	5266	0
3_Beta_peak_19733_lociStitched	chr2	199965800	199984125	3	1287	2089.05	5267	0
2_Beta_peak_13866_lociStitched	chr17	35715257	35716949	2	1400	2088.9432	5268	0
3_Beta_peak_34623_lociStitched	chr9	140149824	140163815	3	1605	2088.8563	5269	0
1_Beta_peak_14883_lociStitched	chr17	79268441	79269737	1	1297	2088.7632	5270	0
2_Beta_peak_33743_lociStitched	chr9	88555578	88556717	2	979	2088.5843	5271	0
2_Beta_peak_4105_lociStitched	chr10	65389413	65391091	2	1541	2088.271	5272	0
2_Beta_peak_14326_lociStitched	chr17	55497929	55499991	2	1752	2087.9812	5273	0
2_Beta_peak_24786_lociStitched	chr4	6033683	6035360	2	1418	2087.865	5274	0
2_Beta_peak_1644_lociStitched	chr1	92315934	92317934	2	1463	2087.2	5275	0
1_Beta_peak_9730_lociStitched	chr14	56046242	56047725	1	1484	2087.1742	5276	0
1_Beta_peak_22968_lociStitched	chr3	41240321	41241424	1	1104	2086.6554	5277	0
2_Beta_peak_30855_lociStitched	chr7	98923176	98928291	2	1137	2086.4085	5278	0
1_Beta_peak_6500_lociStitched	chr11	108337425	108338296	1	872	2085.6966	5279	0
2_Beta_peak_10555_lociStitched	chr15	20001990	20005417	2	894	2085.6722	5280	0
4_Beta_peak_12025_lociStitched	chr16	12740155	12746891	4	2155	2085.4656	5281	0
3_Beta_peak_1153_lociStitched	chr1	45476506	45484941	3	1089	2084.2885	5282	0
1_Beta_peak_25904_lociStitched	chr4	166299579	166300748	1	1170	2084.2101	5283	0
2_Beta_peak_3387_lociStitched	chr1	240285756	240287725	2	1307	2084.1865	5284	0
1_Beta_peak_8538_lociStitched	chr13	20356100	20357124	1	1025	2083.9424	5285	0
1_Beta_peak_30356_lociStitched	chr7	44529915	44530880	1	966	2083.435	5286	0
1_Beta_peak_11853_lociStitched	chr16	3930169	3931267	1	1099	2083.3452	5287	0
2_Beta_peak_8097_lociStitched	chr12	110480577	110486971	2	1413	2083.1652	5288	0
2_Beta_peak_17625_lociStitched	chr1_jh636052_fix	2733791	2743548	2	2224	2082.1438	5289	0
2_Beta_peak_12216_lociStitched	chr16	27558755	27562099	2	943	2081.3056	5290	0
2_Beta_peak_16754_lociStitched	chr19	38493769	38495766	2	1644	2081.2734	5291	0
2_Beta_peak_13960_lociStitched	chr17	38775964	38788858	2	524	2081.0916	5292	0
2_Beta_peak_21770_lociStitched	chr22	19841944	19843686	2	1493	2080.9932	5293	0
2_Beta_peak_28669_lociStitched	chr6	56405871	56407766	2	1099	2080.8995	5294	0
2_Beta_peak_11708_lociStitched	chr16	1231899	1232993	2	871	2080.6786	5295	0
2_Beta_peak_1574_lociStitched	chr1	85155578	85164418	2	1764	2080.052	5296	0
2_Beta_peak_18023_lociStitched	chr2	26100600	26102035	2	1191	2080.0325	5297	0
1_Beta_peak_14324_lociStitched	chr17	55434335	55435615	1	1281	2079.744	5298	0
2_Beta_peak_23985_lociStitched	chr3	136580489	136582073	2	1339	2079.1584	5299	0
1_Beta_peak_9418_lociStitched	chr14	23590317	23591863	1	1547	2078.9062	5300	0
1_Beta_peak_11774_lociStitched	chr16	2301092	2302748	1	1657	2078.28	5301	0
1_Beta_peak_30550_lociStitched	chr7	66459909	66460631	1	723	2077.6272	5302	0
1_Beta_peak_14469_lociStitched	chr17	61904404	61905328	1	925	2077.4292	5303	0
2_Beta_peak_4202_lociStitched	chr10	74856027	74857450	2	1194	2077.0108	5304	0
1_Beta_peak_19150_lociStitched	chr2	114513638	114514708	1	1071	2075.693	5305	0
2_Beta_peak_6605_lociStitched	chr11	116943651	116947836	2	537	2075.3415	5306	0
2_Beta_peak_28601_lociStitched	chr6	48632196	48643981	2	756	2075.3385	5307	0
1_Beta_peak_3819_lociStitched	chr10	29697854	29699343	1	1490	2075.2193	5308	0
2_Beta_peak_30267_lociStitched	chr7	36984189	36985690	2	1213	2074.6822	5309	0
3_Beta_peak_14526_lociStitched	chr17	64504938	64514494	3	1685	2074.6076	5310	0
2_Beta_peak_31819_lociStitched	chr8	17196104	17205912	2	665	2074.392	5311	0
1_Beta_peak_7879_lociStitched	chr12	93835158	93836540	1	1383	2074.2438	5312	0
1_Beta_peak_5062_lociStitched	chr11	393606	394955	1	1350	2074.0875	5313	0
2_Beta_peak_5437_lociStitched	chr11	18405389	18416635	2	1019	2073.7624	5314	0
3_Beta_peak_21040_lociStitched	chr20	49154155	49163628	3	1205	2073.6397	5315	0
1_Beta_peak_22202_lociStitched	chr22	38003435	38005054	1	1620	2072.9676	5316	0
2_Beta_peak_17442_lociStitched	chr19	58661679	58666493	2	1100	2072.427	5317	0
1_Beta_peak_11059_lociStitched	chr15	63449037	63450245	1	1209	2071.8408	5318	0
2_Beta_peak_2541_lociStitched	chr1	178505924	178512387	2	1955	2071.3915	5319	0
2_Beta_peak_14038_lociStitched	chr17	40925103	40932529	2	1299	2071.1114	5320	0
1_Beta_peak_22658_lociStitched	chr3	5229340	5230365	1	1026	2070.8075	5321	0
3_Beta_peak_32869_lociStitched	chr8	125738392	125740350	3	1545	2070.7808	5322	0
2_Beta_peak_24368_lociStitched	chr3	183059448	183068033	2	1531	2070.702	5323	0
2_Beta_peak_11350_lociStitched	chr15	80987604	80997685	2	887	2070.6374	5324	0
3_Beta_peak_32258_lociStitched	chr8	50821938	50824444	3	1871	2070.4572	5325	0
3_Beta_peak_32857_lociStitched	chr8	125576070	125586735	3	1507	2070.0765	5326	0
3_Beta_peak_28169_lociStitched	chr6	26852698	26864014	3	1335	2069.6964	5327	0
2_Beta_peak_3410_lociStitched	chr1	241682453	241695643	2	1387	2069.511	5328	0
3_Beta_peak_6072_lociStitched	chr11	65989669	66005010	3	1107	2069.5009	5329	0
1_Beta_peak_27888_lociStitched	chr6	5260893	5262030	1	1138	2069.2263	5330	0
2_Beta_peak_13171_lociStitched	chr17	1358830	1360295	2	1234	2068.7265	5331	0
1_Beta_peak_22225_lociStitched	chr22	38598011	38599036	1	1026	2068.655	5332	0
1_Beta_peak_9611_lociStitched	chr14	45366404	45367108	1	705	2068.6336	5333	0
1_Beta_peak_3898_lociStitched	chr10	38264642	38265616	1	975	2068.289	5334	0
2_Beta_peak_22001_lociStitched	chr22	29279530	29291155	2	1681	2068.0875	5335	0
1_Beta_peak_10897_lociStitched	chr15	48623100	48624296	1	1197	2067.4056	5336	0
1_Beta_peak_10979_lociStitched	chr15	57998291	57999421	1	1131	2067.335	5337	0
2_Beta_peak_26755_lociStitched	chr5	77934602	77944774	2	1485	2066.9504	5338	0
3_Beta_peak_7881_lociStitched	chr12	93964091	93966921	3	1462	2065.9	5339	0
2_Beta_peak_32266_lociStitched	chr8	52874614	52886888	2	1848	2065.7142	5340	0
3_Beta_peak_27066_lociStitched	chr5	124242659	124245524	3	1627	2065.3785	5341	0
2_Beta_peak_15778_lociStitched	chr19	796677	797925	2	887	2065.1904	5342	0
2_Beta_peak_10463_lociStitched	chr14	103242897	103244646	2	1091	2064.5196	5343	0
1_Beta_peak_16584_lociStitched	chr19	29703245	29704226	1	982	2063.8278	5344	0
1_Beta_peak_24066_lociStitched	chr3	146186767	146187851	1	1085	2063.0688	5345	0
2_Beta_peak_30844_lociStitched	chr7	98739764	98741720	2	749	2062.7976	5346	0
2_Beta_peak_24251_lociStitched	chr3	171073328	171084985	2	816	2062.1233	5347	0
3_Beta_peak_26693_lociStitched	chr5	73611335	73622421	3	1386	2061.996	5348	0
1_Beta_peak_25298_lociStitched	chr4	78078053	78079550	1	1498	2061.6684	5349	0
1_Beta_peak_1510_lociStitched	chr1	70819722	70820834	1	1113	2060.3136	5350	0
1_Beta_peak_7921_lociStitched	chr12	95867027	95868468	1	1442	2059.6213	5351	0
3_Beta_peak_18415_lociStitched	chr2	48580046	48592814	3	833	2059.4784	5352	0
2_Beta_peak_16099_lociStitched	chr19	7982029	7985526	2	1601	2059.3833	5353	0
1_Beta_peak_7127_lociStitched	chr12	12764073	12765467	1	1395	2058.7986	5354	0
1_Beta_peak_25244_lociStitched	chr4	75718825	75719978	1	1154	2058.6815	5355	0
1_Beta_peak_18920_lociStitched	chr2	97778281	97779830	1	1550	2058.621	5356	0
1_Beta_peak_33795_lociStitched	chr9	92219939	92221329	1	1391	2058.451	5357	0
2_Beta_peak_10523_lociStitched	chr14	105487728	105500175	2	1312	2057.4891	5358	0
1_Beta_peak_32539_lociStitched	chr8	93976937	93978440	1	1504	2057.4567	5359	0
2_Beta_peak_9531_lociStitched	chr14	32693869	32700426	2	1423	2056.9309	5360	0
2_Beta_peak_16834_lociStitched	chr19	40022930	40030841	2	1461	2056.86	5361	0
3_Beta_peak_9520_lociStitched	chr14	32397077	32407486	3	1225	2056.8184	5362	0
3_Beta_peak_27360_lociStitched	chr5	142601705	142610513	3	2023	2056.668	5363	0
1_Beta_peak_17016_lociStitched	chr19	45908077	45909931	1	1855	2056.4568	5364	0
1_Beta_peak_15900_lociStitched	chr19	2817433	2818873	1	1441	2056.176	5365	0
1_Beta_peak_35201_lociStitched	chrX	61839140	61839614	1	475	2056.0698	5366	0
2_Beta_peak_17806_lociStitched	chr2	3306537	3318360	2	1344	2056.0197	5367	0
1_Beta_peak_28482_lociStitched	chr6	42896047	42897762	1	1716	2055.4275	5368	0
3_Beta_peak_24691_lociStitched	chr4	980326	987650	3	2283	2055.1144	5369	0
2_Beta_peak_16214_lociStitched	chr19	11707773	11708867	2	954	2055.079	5370	0
2_Beta_peak_21713_lociStitched	chr22	18188769	18196017	2	1606	2054.808	5371	0
3_Beta_peak_32985_lociStitched	chr8	139218470	139232563	3	1386	2054.7594	5372	0
3_Beta_peak_33269_lociStitched	chr9	5832607	5844602	3	1210	2054.7435	5373	0
2_Beta_peak_33237_lociStitched	chr9	3879170	3880699	2	1207	2054.2115	5374	0
2_Beta_peak_19945_lociStitched	chr2	219221627	219232999	2	1430	2053.7832	5375	0
3_Beta_peak_20843_lociStitched	chr20	36772238	36781132	3	1339	2053.6246	5376	0
2_Beta_peak_11383_lociStitched	chr15	83348798	83350145	2	1197	2053.3668	5377	0
2_Beta_peak_12212_lociStitched	chr16	27510583	27523211	2	913	2053.3128	5378	0
